player_id,display_name,state,previous_role,seed_role,candidate_role,candidate_transition,global_role,best_mode,best_mode_role,best_mode_rank,best_mode_games,raw_games,new_games,imported_games,effective_games,unique_opponents,wins_vs_tier_1,wins_vs_tier_2_plus,effective_wins_vs_tier_1,effective_wins_vs_tier_2_plus,display_rating,role_score
531874323305332747,Kiber,qualified,Elite,Elite,Elite,keep,Elite,duel,Elite,1,17,25,22,3,23.50,27,7,15,5.33,12.08,1626,1499
928946498002120735,Sent Kurokawa,qualified,Elite,Squire,Elite,keep,Elite,squad,Elite,1,18,72,50,22,61.00,92,15,48,5.92,18.00,1627,1482
507199986317000704,gwawel,qualified,Elite,,Elite,keep,Elite,duel,Elite,3,123,146,76,70,111.00,85,7,48,4.00,33.00,1554,1468
284068567576477697,Findus,qualified,Elite,Legion,Elite,keep,Elite,duel,Elite,2,37,64,41,23,52.50,89,6,23,3.42,12.75,1559,1446
351311504961699841,bezdomniy,qualified,Pleb,,Gladiator,promote,Elite,duo,Elite,3,13,14,9,5,11.50,29,2,4,0.75,1.75,1491,1308
111335315238641664,Malm,qualified,Legion,Legion,Elite,promote,Elite,duel,Elite,6,25,28,15,13,21.50,27,2,4,2.00,4.00,1442,1303
730088289159348306,Alco,qualified,Legion,Legion,Elite,promote,Elite,duel,Elite,10,69,72,35,37,53.50,45,4,13,2.50,9.00,1366,1273
639072903685603338,Bourricot,qualified,Elite,,Elite,keep,Elite,duo,Elite,4,23,37,23,14,30.00,68,1,12,0.25,3.58,1424,1263
414749042157944862,Sewi27,qualified,Squire,Elite,Elite,promote,Legion,duo,Elite,8,18,29,20,9,24.50,47,4,12,1.25,5.25,1403,1257
291529905676615680,Pipo,qualified,Gladiator,,Gladiator,keep,Legion,duo,Elite,12,5,15,14,1,14.50,33,1,9,0.33,3.25,1427,1239
277166819524083712,Khornie,qualified,Gladiator,Squire,Elite,promote,Legion,duel,Elite,4,21,73,37,36,55.00,99,9,25,2.92,9.20,1362,1239
311565070088011776,Hora de Worka,qualified,Gladiator,Legion,Elite,promote,Legion,duel,Legion,15,17,33,24,9,28.50,41,2,9,1.00,4.83,1350,1227
275644167613579268,erwan,qualified,Squire,Squire,Elite,promote,Legion,duo,Elite,10,13,29,19,10,24.00,54,3,11,0.83,4.00,1390,1224
363345949252124672,aflac,qualified,Gladiator,Legion,Legion,promote,Legion,duel,Legion,12,47,85,50,35,67.50,89,3,30,0.75,13.83,1329,1224
533203635463782401,Monkey D owon,qualified,Gladiator,Squire,Legion,promote,Legion,duel,Legion,23,72,77,29,48,53.00,52,5,14,3.50,9.50,1317,1223
269629070445248512,floppyfloNG,qualified,Legion,Squire,Legion,keep,Legion,squad,Elite,6,20,27,21,6,24.00,61,3,11,1.00,3.17,1386,1217
247731928906727424,TRYNDA,qualified,Legion,,Legion,keep,Legion,duel,Legion,16,15,62,48,14,55.00,80,4,17,1.17,6.37,1328,1213
202854878899470336,Crudlove,qualified,Elite,Legion,Legion,demote,Legion,duo,Elite,1,17,20,20,0,20.00,34,4,8,2.00,3.83,1379,1209
222367163888041984,alexis krempp,qualified,Gladiator,Gladiator,Gladiator,keep,Legion,squad,Elite,13,21,23,8,15,15.50,19,5,16,1.08,3.75,1385,1209
529143150732640266,LegendMaksat,qualified,Elite,Squire,Elite,keep,Legion,squad,Elite,3,15,79,53,26,66.00,107,2,8,0.58,3.08,1328,1208
688084429251543153,paul_h1rs,qualified,Gladiator,Legion,Legion,promote,Legion,duel,Legion,13,44,47,30,17,38.50,30,2,14,1.50,12.50,1314,1201
152791886602567680,Tob,qualified,Gladiator,,Legion,promote,Legion,duo,Legion,28,15,37,24,13,30.50,51,13,19,3.28,4.82,1370,1201
345982631675953163,YEG,qualified,Gladiator,,Legion,promote,Legion,duel,Legion,17,38,39,36,3,37.50,30,0,2,0.00,2.00,1296,1195
1277373756507164793,hmmmm,qualified,Squire,Squire,Legion,promote,Legion,duel,Legion,24,5,25,15,10,20.00,45,1,7,0.50,1.75,1363,1193
437662301219192834,aykops,qualified,Legion,,Legion,keep,Legion,ffa,Elite,1,1,75,64,11,69.50,93,12,23,3.58,6.27,1321,1193
551382710304899072,HellStar,qualified,Legion,Gladiator,Legion,keep,Legion,duo,Elite,11,40,69,40,29,54.50,99,7,30,2.33,9.33,1322,1189
