player_id,display_name,current_discord_role,new_calculated_role,managed,reason,expected_discord_action,global_rank,percentile,display_rating,role_score,mu,sigma,raw_games,imported_games,effective_games,wins_vs_tier_1,wins_vs_tier_2_plus,effective_wins_vs_tier_1,effective_wins_vs_tier_2_plus,wins,duel_games,duel_rating,duo_games,duo_rating,squad_games,squad_rating,ffa_games,ffa_rating,red-death_games,red-death_rating
188455260912615424,[ZoC]🐟TaskForceFish🐟,Legion,Elite,yes,qualified,replace-role,15,4.87%,1348,1229,34.6540,4.3748,44,12,38.00,2,13,0.75,8.08,31,23,1341,16,1197,5,1143,0,,0,
730088289159348306,Alco,Legion,Elite,yes,qualified,replace-role,9,2.92%,1366,1273,35.1603,3.4216,72,37,53.50,4,13,2.50,9.00,46,69,1360,1,969,2,925,0,,0,
639072903685603338,Bourricot,Elite,Elite,yes,qualified,no-op,11,3.57%,1424,1263,36.7720,5.9462,37,14,30.00,1,13,0.25,3.83,29,0,,23,1434,14,1093,0,,0,
284068567576477697,Findus,Elite,Elite,yes,qualified,no-op,3,0.97%,1559,1446,40.5144,4.1680,64,23,52.50,6,23,3.42,12.75,53,37,1573,11,1278,16,1326,0,,0,
507199986317000704,gwawel,Elite,Elite,yes,qualified,no-op,4,1.30%,1492,1407,38.6585,3.1468,148,70,113.00,7,49,4.00,33.50,115,125,1487,23,1390,0,,0,,0,
311565070088011776,Hora de Worka,Gladiator,Elite,yes,qualified,replace-role,7,2.27%,1401,1287,36.1453,4.2197,36,9,31.50,2,12,1.00,7.83,19,20,1394,14,1170,2,1034,0,,0,
277166819524083712,Khornie,Legion,Elite,yes,qualified,replace-role,8,2.60%,1407,1286,36.3186,4.5052,75,36,57.00,9,25,2.92,9.20,57,23,1492,31,1153,21,1156,0,,0,
531874323305332747,Kiber,Elite,Elite,yes,qualified,no-op,1,0.32%,1671,1547,43.6357,4.5757,26,3,24.50,8,16,6.33,13.08,21,18,1689,6,1097,2,1115,0,,0,
111335315238641664,Malm,Legion,Elite,yes,qualified,replace-role,6,1.95%,1442,1303,37.2687,5.1380,28,13,21.50,2,4,2.00,4.00,19,25,1404,1,974,2,1064,0,,0,
928946498002120735,Sent Kurokawa,Elite,Elite,yes,qualified,no-op,2,0.65%,1627,1482,42.4047,5.3473,72,22,61.00,15,48,5.92,18.00,66,4,1416,50,1498,18,1547,0,,0,
414749042157944862,Sewi27,Squire,Elite,yes,qualified,replace-role,12,3.90%,1403,1257,36.1905,5.4032,29,9,24.50,4,13,1.25,5.50,19,7,1190,18,1374,4,1031,0,,0,
363345949252124672,aflac,Gladiator,Legion,yes,qualified,replace-role,25,8.12%,1296,1193,33.2189,3.8162,87,35,69.50,3,30,0.75,13.83,68,49,1303,26,1278,12,1169,0,,0,
270543079793098752,AFLYINGTOILET,Squire,Legion,yes,qualified,replace-role,39,12.66%,1285,1130,32.9168,5.7571,30,3,28.50,2,7,0.45,2.40,19,4,1267,9,1241,17,1084,0,,0,
222367163888041984,alexis krempp,Gladiator,Legion,yes,qualified,replace-role,40,12.99%,1297,1129,33.2446,6.2111,24,15,16.50,5,16,1.08,3.75,15,3,1172,0,,21,1265,0,,0,
312957661001809921,Androam,Gladiator,Legion,yes,qualified,replace-role,121,39.29%,1112,939,28.1015,6.3835,29,2,28.00,7,10,1.78,2.53,14,0,,2,926,27,1104,0,,0,
269167666999066634,Atomation,Squire,Legion,yes,qualified,replace-role,71,23.05%,1164,1054,29.5551,4.0895,85,14,78.00,8,13,1.95,3.23,41,13,1182,20,998,52,1181,0,,0,
557598327026221059,aubbap,Squire,Legion,yes,qualified,replace-role,36,11.69%,1236,1139,31.5672,3.6021,42,1,41.50,3,10,3.00,9.50,27,42,1237,0,,0,,0,,0,
437662301219192834,aykops,Legion,Legion,yes,qualified,no-op,20,6.49%,1339,1211,34.4109,4.7333,76,11,70.50,12,23,3.58,7.10,50,1,1056,15,1068,58,1335,2,1117,0,
548322988626542652,backflip (naval war player),Legion,Legion,yes,qualified,no-op,31,10.06%,1304,1164,33.4355,5.1701,44,4,42.00,5,8,1.35,2.35,30,4,918,13,1261,27,1314,0,,0,
541615428473192459,barbar,Elite,Legion,yes,qualified,replace-role,107,34.74%,1109,966,28.0360,5.3028,64,17,55.50,11,21,3.07,5.90,32,4,1029,12,925,48,1132,0,,0,
186417692960358401,Bartsake,Pleb,Legion,yes,qualified,replace-role,137,44.48%,1098,915,27.7256,6.7908,28,20,18.00,3,14,0.58,2.92,15,0,,0,,28,1124,0,,0,
798623447986470974,broccoli,Squire,Legion,yes,qualified,replace-role,91,29.55%,1109,993,28.0311,4.2990,52,14,45.00,3,4,1.67,2.17,30,29,1134,19,1034,4,1009,0,,0,
733142629616713818,commutant,Legion,Legion,yes,qualified,no-op,33,10.71%,1247,1151,31.8662,3.5636,129,44,107.00,3,13,0.75,3.33,75,35,1274,51,1179,42,1065,1,1043,0,
590550043212251185,cool9393,Legion,Legion,yes,qualified,no-op,30,9.74%,1319,1167,33.8592,5.6285,48,8,44.00,1,17,0.25,3.95,30,0,,1,966,47,1306,0,,0,
202854878899470336,Crudlove,Elite,Legion,yes,qualified,replace-role,21,6.82%,1379,1209,35.5198,6.2704,20,0,20.00,4,8,2.00,3.83,18,2,1005,17,1512,1,1075,0,,0,
693853784140415057,cynth,Legion,Legion,yes,qualified,no-op,82,26.62%,1163,1027,29.5350,5.0551,72,25,59.50,10,25,3.17,7.48,48,0,,35,1342,37,1127,0,,0,
137645419952865280,Damori,Legion,Legion,yes,qualified,no-op,89,28.90%,1176,999,29.8948,6.5595,25,14,18.00,2,5,0.58,1.58,16,3,1038,4,1192,18,1113,0,,0,
186958027788779521,elaphantguy,Gladiator,Legion,yes,qualified,replace-role,74,24.03%,1210,1042,30.8264,6.2097,36,4,34.00,6,12,1.45,2.87,21,0,,2,1072,34,1257,0,,0,
275644167613579268,erwan,Squire,Legion,yes,qualified,replace-role,16,5.19%,1390,1224,35.8369,6.1605,29,10,24.00,3,11,0.83,4.00,21,1,1071,13,1332,15,1144,0,,0,
1480634563074986135,Extr,Gladiator,Legion,yes,qualified,replace-role,108,35.06%,1097,964,27.7075,4.9603,72,14,65.00,3,8,0.70,1.98,48,13,1107,7,957,52,1246,0,,0,
287397869550567425,Falcon,Pleb,Legion,yes,qualified,replace-role,48,15.58%,1282,1110,32.8468,6.4000,17,0,17.00,1,5,0.20,1.65,11,3,1264,4,1051,10,935,0,,0,
269629070445248512,floppyfloNG,Legion,Legion,yes,qualified,no-op,18,5.84%,1386,1217,35.7354,6.2695,27,6,24.00,3,12,1.00,3.42,20,0,,7,1140,20,1317,0,,0,
688507156735328383,FNCNemesis,Squire,Legion,yes,qualified,replace-role,59,19.16%,1270,1083,32.4943,6.9092,21,9,16.50,5,7,1.33,2.08,14,0,,5,1102,16,1166,0,,0,
925722102294802442,Hans Landa,Squire,Legion,yes,qualified,replace-role,61,19.81%,1245,1079,31.7961,6.1326,38,30,23.00,0,3,0.00,0.67,26,14,1278,14,1103,10,901,0,,0,
372435077843386381,Hector,Gladiator,Legion,yes,qualified,replace-role,85,27.60%,1178,1022,29.9452,5.7647,46,1,45.50,8,15,1.98,3.63,25,0,,1,964,45,1188,0,,0,
551382710304899072,HellStar,Legion,Legion,yes,qualified,no-op,26,8.44%,1322,1189,33.9345,4.9154,69,29,54.50,7,29,2.33,9.08,46,3,1090,40,1319,26,1277,0,,0,
379056864819675136,Heywax,Pleb,Legion,yes,qualified,replace-role,42,13.64%,1264,1125,32.3363,5.1420,41,18,32.00,1,7,0.50,2.42,21,5,1342,25,960,10,1019,1,1043,0,
1277373756507164793,hmmmm,Squire,Legion,yes,qualified,replace-role,24,7.79%,1363,1193,35.0824,6.2939,25,10,20.00,1,6,0.50,1.58,16,5,1250,4,1161,16,1079,0,,0,
542037274318077953,JacobDaba,Elite,Legion,yes,qualified,replace-role,65,21.10%,1201,1071,30.5901,4.8164,85,18,76.00,16,39,3.98,9.67,50,0,,19,849,66,1361,0,,0,
651416658367217674,jurassikpark,Squire,Legion,yes,qualified,replace-role,45,14.61%,1214,1114,30.9506,3.7219,82,51,56.50,0,2,0.00,1.50,40,63,1228,17,1075,2,1004,0,,0,
414155162438074368,Kokkusu,Squire,Legion,yes,qualified,replace-role,43,13.96%,1287,1118,32.9825,6.2573,35,20,25.00,4,7,1.00,1.92,26,0,,19,1268,16,1123,0,,0,
201821608506032129,ldk,Gladiator,Legion,yes,qualified,replace-role,38,12.34%,1308,1138,33.5686,6.3213,36,24,24.00,7,18,2.08,4.83,27,0,,17,1232,19,1201,0,,0,
181879507756515328,Lege,Squire,Legion,yes,qualified,replace-role,64,20.78%,1206,1071,30.7328,5.0010,52,17,43.50,3,19,1.00,6.92,30,3,1235,31,1015,18,1114,0,,0,
529143150732640266,LegendMaksat,Elite,Legion,yes,qualified,replace-role,27,8.77%,1302,1183,33.4028,4.4279,81,26,68.00,2,8,0.58,3.08,57,18,1142,46,1279,17,1316,0,,0,
325335781180702740,LeKiks,Squire,Legion,yes,qualified,replace-role,50,16.23%,1274,1107,32.6187,6.1867,42,26,29.00,3,11,0.83,3.17,34,2,1146,31,1223,9,1025,0,,0,
568834228461240331,lykkekriger,Elite,Legion,yes,qualified,replace-role,54,17.53%,1217,1101,31.0152,4.2759,102,9,97.50,2,21,0.58,6.10,60,1,876,13,1396,88,1144,0,,0,
988876307553214554,Madiyar,Squire,Legion,yes,qualified,replace-role,93,30.19%,1114,992,28.1751,4.5465,94,15,86.50,6,12,1.58,3.17,49,2,1090,8,933,83,1085,1,974,0,
274145149947215873,manmiku,Legion,Legion,yes,qualified,no-op,46,14.94%,1266,1112,32.3855,5.7138,55,16,47.00,13,34,5.17,12.17,46,0,,39,1230,16,1265,0,,0,
682998741623635978,Michael,Squire,Legion,yes,qualified,replace-role,53,17.21%,1267,1103,32.4274,6.1064,34,0,34.00,7,20,1.65,5.22,23,0,,5,1133,29,1162,0,,0,
377035061146550284,MikalaiNovikau,Squire,Legion,yes,qualified,replace-role,28,9.09%,1344,1179,34.5687,6.1422,25,6,22.00,2,6,1.25,3.08,17,9,1388,6,1068,9,1086,1,1043,0,
